,,,,,short term DS2016 - DM2016,,Long term comparison 1: DM2030 - DM2016,,,Long term comparison 2: DS2030 - DM2016,,,Change in nuisance level,,,,,Total number of dwellings,185,,,,
,DM 2016,DM 2030,DS 2016,DS 2030,"LA10,18hr change",Imapct magnitude,"LA10,18hr change","Lnight,outside change",Imapct magnitude,"LA10,18hr change","Lnight,outside change",Impact magnitude,DM,DS,,,,Other sesntive receptors,2,,,,
Windy Ridge,65.0,66.0,59.7,61.1,-5.3,-,1.0,0.9,Negligible,-3.9,-3.5,-,2%,-7%,,,,,,,,,
Jersey Cottage,63.7,64.7,59.6,60.8,-4.1,-,1.0,0.9,Negligible,-2.9,-2.6,-,2%,-5%,,,,,,,,,
Canterbury House,63.7,64.7,59.9,61.0,-3.8,-,1.0,0.9,Negligible,-2.7,-2.4,-,2%,-5%,,,,,,,,,
Millstone House,63.8,64.7,59.8,60.9,-4.0,-,0.9,0.8,Negligible,-2.9,-2.6,-,2%,-5%,,,,,,,,,
Elwick House,63.2,64.1,59.0,60.2,-4.2,-,0.9,0.8,Negligible,-3.0,-2.7,-,2%,-5%,,,,,,,,,
Greencroft,57.1,57.7,57.2,57.9,0.1,Negligible,0.6,0.5,Negligible,0.8,0.7,Negligible,1%,10%,,,,,,,,,
Bee Cott,64.8,65.0,55.3,56.2,-9.5,-,0.2,0.2,Negligible,-8.6,-7.7,-,0%,-13%,,,,,,,,,
Church Bank Cottage,65.5,65.7,55.0,55.9,-10.5,-,0.2,0.2,Negligible,-9.6,-8.6,-,0%,-14%,,,,,,,,,
Hazel Bank Cottage,65.9,66.1,55.0,55.9,-10.9,-,0.2,0.2,Negligible,-10.0,-9.0,-,0%,-15%,,,,,,,,,
St Peter's Church,62.5,62.9,60.4,61.2,-2.1,-,0.4,0.4,Negligible,-1.3,-1.2,-,1%,-2%,,,,,,,,,
Longcross,68.3,68.8,67.8,68.6,-0.5,-,0.5,0.5,Negligible,0.3,0.3,Negligible,1%,1%,,,,,,,,,
Sunrise Cottage,75.6,76.4,75.6,76.3,0.0,No change,0.8,0.7,Negligible,0.7,0.6,Negligible,2%,2%,,,,,,,,,
The Hawthorns,81.1,81.9,81.0,81.8,-0.1,-,0.8,0.7,Negligible,0.7,0.6,Negligible,2%,2%,,,,,,,,,
Benknowle,74.7,75.5,74.7,75.5,0.0,No change,0.8,0.7,Negligible,0.8,0.7,Negligible,2%,2%,,,,,,,,,
Mill House,70.0,70.8,70.0,70.7,0.0,No change,0.8,0.7,Negligible,0.7,0.6,Negligible,2%,2%,,,,,,,,,
Woodland House,67.9,68.5,67.8,68.6,-0.1,-,0.6,0.5,Negligible,0.7,0.6,Negligible,1%,2%,,,,,,,,,
North Close 8,56.0,56.2,55.6,56.2,-0.4,-,0.2,0.2,Negligible,0.2,0.2,Negligible,0%,0%,,,,,,,,,
North Close 9,55.3,55.5,55.2,55.9,-0.1,-,0.2,0.2,Negligible,0.6,0.5,Negligible,0%,1%,,,,,,,,,
North Close 10,56.3,56.6,56.3,57.1,0.0,No change,0.3,0.3,Negligible,0.8,0.7,Negligible,0%,1%,,,,,,,,,
North Close 11,57.8,58.1,57.8,58.6,0.0,No change,0.3,0.3,Negligible,0.8,0.7,Negligible,0%,1%,,,,,,,,,
North Close 12,55.5,55.5,55.7,56.5,0.2,Negligible,0.0,0.0,No change,1.0,0.9,Negligible,0%,12%,,,,,,,,,
North Close 13,56.8,56.7,57.0,57.7,0.2,Negligible,-0.1,-0.1,-,0.9,0.8,Negligible,0%,12%,,,,,,,,,
North Close 16,62.1,62.3,62.1,62.8,0.0,No change,0.2,0.2,Negligible,0.7,0.6,Negligible,0%,1%,,,,,,,,,
North Close 17,56.4,56.3,55.6,56.3,-0.8,-,-0.1,-0.1,-,-0.1,-0.1,-,0%,0%,,,,,,,,,
North Close 18,56.3,56.2,55.5,56.2,-0.8,-,-0.1,-0.1,-,-0.1,-0.1,-,0%,0%,,,,,,,,,
North Close 20,62.0,62.4,61.9,62.6,-0.1,-,0.4,0.4,Negligible,0.6,0.5,Negligible,1%,1%,,,,,,,,,
